N,E,D
-19260.62159053578,3.5100418361428114e-10,-6373670.027427204
-19504.178129132757,1073.5728659742144,-6369255.240885894
-19452.071931350485,352.87354587542535,-6374649.309693277
-19543.136453196257,1159.202111233633,-6369446.72896372
-19027.696217270164,860.8198943561179,-6372161.408570315
-19023.351363115256,853.362004020474,-6372107.085595696
-19003.623891846535,102.73824943579578,-6369755.338567716
-19016.824394463594,854.1284513056961,-6372130.622796898
-19016.170591524096,850.7624367456095,-6372139.557964596
-19027.40535538869,846.2126748745794,-6372140.236301235
-19024.264516184565,850.8584763154602,-6372129.0401756745
-19548.168708292586,1526.5770818228261,-6370619.112510251
-19546.06578095717,1152.303332631791,-6369455.631800212
-19552.17754044738,1529.2840731682984,-6370625.841882774
-19545.204624477785,1522.0494480801551,-6370602.8415454365
-19030.08338500727,854.1041678589544,-6372141.833037661
-19023.806197032092,847.338357943693,-6372136.865545107
-19019.13203227215,844.4746992599314,-6372142.163480918
-19015.561364146237,831.0045131582064,-6372154.389079731
-19025.85398245902,833.863125474084,-6372128.551561537
-19026.753959298614,820.5066050874401,-6372142.083842372
-19022.859603375862,818.9936091445801,-6372134.872795927
-19026.390191078764,812.4355745422474,-6372117.298210223
-18732.207745405805,1993.2109031054351,-6369824.791337541
-18733.88651945486,1984.601241077181,-6369824.083937005
-19024.470174151294,779.5346015396387,-6372136.761503701
-19023.703881321726,767.8564017117958,-6372134.650960862
-19022.80583018003,760.9402342404602,-6372135.802970118
-19025.53969136089,754.124168918471,-6372130.29713854
-19018.28211442851,742.3633236609787,-6372130.70093692
-19027.055331375534,741.2701478005896,-6372123.382375717
-19519.113659381142,1463.638949889642,-6370790.678290072
-19017.453720607416,726.2962785458008,-6372128.6786460625
-19549.251587349034,1391.3215630260966,-6370624.101685841
-19550.129175474423,1381.516325843009,-6370619.48461159
-19024.151868982233,715.04616227866,-6372126.694140947
-19012.617818442555,711.1346659520742,-6372128.684231537
-18291.097033752165,1337.2284399786004,-6371089.153093508
-19125.10570888748,1733.9899470656358,-6370020.76084045
-19023.438997492758,694.191867855933,-6372134.7372323135
-19026.94651212168,685.4768312957586,-6372128.7267223755
-19028.362814499043,683.1934969589513,-6372131.603691179
-19038.037027801176,667.2721091014157,-6372118.132667246
-19027.29266936974,664.9220267546232,-6372119.732305728
-19033.550157196434,654.3744315603217,-6372120.183442289
-19557.91750188573,1309.6395279213843,-6370613.701792616
-19032.756097924408,631.1868826846412,-6372138.858114136
-19034.80124342819,618.1240226331068,-6372128.615050067
-19028.057649138067,606.1711375006873,-6372137.818061385
-19029.126314918827,601.1217234882193,-6372124.705682295
-19025.986363122618,587.0869685581912,-6372132.329836285
-19029.315914486433,587.6578766842465,-6372138.313904026
-19031.077839903413,588.7823654332379,-6372132.701324927
-19021.924527811938,581.2603481780532,-6372135.547119479
-19037.46198301947,580.0243144561342,-6372113.692352153
-19039.449712680973,573.5296945168329,-6372149.666504337
-19034.28707596192,572.3346958129132,-6372141.166552699
-19038.550352137692,572.9035720486569,-6372152.600525017
-19048.96151955994,571.3664057472639,-6372143.777507572
-19064.323581068627,577.9285795243375,-6372139.294646893
-19065.60233034808,563.7113424328736,-6372130.070453391
-19075.25231526876,567.2699777846499,-6372133.612118728
-19077.922228591287,559.4149036171689,-6372156.578878728
-19077.582247248192,549.1379485178746,-6372149.082275043
-19095.86394213234,553.3723364167196,-6372145.456444775
-19114.33316150014,555.2749482687444,-6372106.741019993
-19123.367453840096,542.5184479973559,-6372127.8756338395
-19129.30260490952,538.7543938274328,-6372136.843366708
-19131.970574573814,532.672865552869,-6372142.218583384
-19136.765186169563,535.043002648835,-6372117.970345353
-19136.001422091784,527.5516704523299,-6372130.840328774
-19132.387798389784,519.726414903911,-6372113.661310777
-19126.649876204487,509.34789938554314,-6372137.503117823
-19123.97889515815,507.433502686835,-6372129.82259792
-19118.80127903404,489.2663671980205,-6372153.56973052
-19129.704493692112,503.2463322901838,-6372121.115887371
-19122.939628080694,492.4453846728567,-6372128.2836107835
-19121.974276121036,482.15637391965566,-6372133.6485732915
-19124.773113127507,485.0908823566303,-6372111.793565347
-19648.398102857762,1144.1161084684388,-6370616.307374612
-19646.22619399484,1142.4871504158925,-6370616.185241455
-19120.917083605786,463.5658655969107,-6372133.969669496
-19124.497877273065,457.7766687305644,-6372135.458288743
-19131.196172804146,447.7197105198144,-6372144.928697289
-19108.669811823096,447.6224077645379,-6372113.667045529
-19121.468781381405,435.16042579724535,-6372139.817236388
-19130.487757248786,420.6432580406141,-6372145.917456057
-19116.186860972823,428.76749157391737,-6372117.659543589
-19111.19908484317,423.08337578888336,-6372123.832692654
-19109.66925314838,416.0273570909365,-6372126.9735731715
-19106.20873853621,408.3546370870899,-6372131.019980982
-19103.33724483205,396.85934679102263,-6372134.5990204625
-19104.005849514357,394.2113790816446,-6372134.4860442495
-19105.053275057373,387.5187130983067,-6372136.214225665
-19102.86368726973,392.56957711793547,-6372119.902305995
-19099.493726008364,375.9568541492109,-6372145.229183572
-19108.15125476125,366.6335219188788,-6372149.945301564
-19095.803883273573,371.2340283336432,-6372155.004025322
-19086.20542164397,379.55379808072956,-6372165.789132236
-19085.392821354064,379.2517986466624,-6372130.256109397
-19592.650525740555,689.887528710115,-6369489.151452996
-19083.464141512737,386.01700320476215,-6372146.623119422
-19071.734939414688,380.17059566747145,-6372140.991557994
-19067.153677028327,384.75047695385587,-6372130.6673577605
-19055.249880675055,386.11134527634294,-6372122.2084815195
-19551.71572852956,703.5821472820592,-6369492.359111496
-19030.198299134587,391.25768864681254,-6372119.565305305
-19024.532377109204,391.81216529628597,-6372114.446186661
-19024.928899827886,398.4040880119463,-6372120.595068096
-18965.812190331828,-371.78638701183036,-6369677.793696812
-19005.941382581557,404.1249459417385,-6372130.070785252
-19506.212336589084,725.174138965761,-6369500.341322946
-18996.36681275064,409.59835658262176,-6372093.642671046
-19515.788109331614,1092.3481509423489,-6370644.223978403
-19514.798409187108,1090.348402793057,-6370632.0274219345
-18989.446197270052,429.45074085993036,-6372134.989441644
-18979.164964273357,434.3231448787405,-6372156.659287352
-18941.150628875246,-323.7773015565432,-6369684.684453333
-18994.858064700347,452.6255901896161,-6372123.08246092
-18996.05297806818,460.68785428073346,-6372110.95221648
-18952.07048840298,-297.2435524858467,-6369669.22213556
-18999.860326739417,482.56250521427967,-6372127.71203218
-19003.13637090957,493.98459515700955,-6372127.853694904
-19006.478263768786,499.13793853637003,-6372110.921922494
-18959.96612396294,-255.00249647471438,-6369661.905950386
-18968.300385843446,-244.50826834362445,-6369663.489370639
-19018.65951438704,535.3427834743433,-6372135.457782478
-19015.65496028711,536.3869581719233,-6372121.070131949
-19018.889807850497,551.4760785383386,-6372117.400762397
-19021.59493002875,564.8438349749523,-6372163.033892122
-19023.124494487536,573.6199997075503,-6372168.56111945
-19032.983582180754,576.1805747667694,-6372135.503088831
-19031.214654903903,569.5568155313742,-6372121.7110784035
